# This file: https://hgdownload.soe.ucsc.edu/hubs/UCSC_GI.assemblyHubList.txt
# last update: 2022-09-02, 2320 assemblies listed
#
# Providing a listing of assembly resources available for display in
# the UCSC Genome Browser.  Tab separated list currently with six columns,
# additional columns may be added in the futue.
# Construct a short URL with the accession name to display this assembly
# in the genome browser. For example: https://genome.ucsc.edu/h/GCA_003369685.2
#
# Note: a clade with suffix '(L)' is found in the 'legacy' set of assemblies.
# 'legacy' are assemblies that have become outdated and superseded by newer
# and better assemblies.
#
# currently clade groupings found in the GenArk are:
# birds fish fungi invertebrate mammals plants primates vertebrate viral
#
# where 'vertebrate' are the 'other' vertebrates not alreaded included in
#    birds fish mammals primates
#
# 'invertebrate' can include a broad range of organisms including single
#    cell eukaryotic protists etc.
#
# 'viral' currently includes most viruses of interest related to human
#         pathogens
#
# future plans to include selected sets of bacteria and archaea assemblies
#
# accession	assembly	scientific name	common name	taxonId	GenArk clade
GCF_004118075.1	ASM411807v1	Vigna unguiculata	cowpea (IT97K-499-35 v1 2019)	3917	plants(L)
GCF_004118075.2	ASM411807v2	Vigna unguiculata	cowpea (IT97K-499-35 v2 2019)	3917	plants
GCF_004126475.1	mPhyDis1_v1.p	Phyllostomus discolor	pale spear-nosed bat (MPI-MPIP v1 2019 VGP)	89673	mammals(L)
GCF_004126475.2	mPhyDis1.pri.v3	Phyllostomus discolor	pale spear-nosed bat	89673	mammals
GCF_004133345.1	ASM413334v1	Human papillomavirus type 203	human papillomavirus type 203 (SE369 2019)	2093789	viral
GCF_004143615.1	amil_sf_1.1	Acropora millepora	stony coral A.millepora (SF001 2019)	45264	invertebrate
GCF_004143745.1	ASM414374v1	Phasianus colchicus	ring-necked pheasant	9054	birds
GCF_004153795.1	AHAU_CSS_1	Camellia sinensis	black tea	4442	plants
GCF_004153925.1	Obicornis_v3	Osmia bicornis bicornis	red mason bee (LIB18336 2019)	1437191	invertebrates(L)
GCF_004154835.1	ASM415483v1	Alternaria arborescens	ascomycetes A.arborescens	156630	fungi
GCF_004193775.1	ASM419377v2	Glycine soja	wild soybean	3848	plants
GCF_004193835.1	ASM419383v1	Ostrinia furnacalis	Asian corn borer	93504	invertebrate
GCF_004324835.1	DenGig_1.0	Dendronephthya gigantea	soft corals D.gigantea (DGI-Jeju-01 2019)	151771	invertebrate
GCF_004329235.1	PodMur_1.0	Podarcis muralis	common wall lizard	64176	vertebrate
GCF_004337985.1	ASM433798v1	Pyricularia pennisetigena	ascomycetes P.pennisetigena	1578925	fungi
GCF_004348235.1	GSC_HSeal_1.0	Phoca vitulina	harbor seal	9720	mammals
GCF_004353045.1	ASM435304v1	Thyridium curvatum	ascomycetes P.curvata	1093900	fungi
GCF_004353265.1	EGFV_Vit.rip_1.0	Vitis riparia	riverbank grape	96939	plants
GCF_004354385.1	UK_Dinn_1.0	Drosophila innubila	fly D.innubila	198719	invertebrate
GCF_004354835.1	PFLA_1.0	Perca flavescens	yellow perch (YP-PL-M2 2019)	8167	fish
GCF_004355905.1	ASM435590v1	Pyricularia grisea	ascomycetes P.grisea	148305	fungi
GCF_004355925.1	GSC_Weel_1.0	Anarrhichthys ocellatus	wolf-eel	433405	fish
GCF_004379255.1	SspV2	Salvia splendens	eudicots S.splendens huo1 (BFU 2021)	180675	plants
GCF_004382145.1	ASM438214v1	Drosophila mauritiana	fly D.mauritiana	7226	invertebrate
GCF_004382195.1	ASM438219v1	Drosophila sechellia	fly D.sechellia (sech25 v1 2019 UC Irvine)	7238	invertebrates(L)
GCF_004382195.2	ASM438219v2	Drosophila sechellia	fly D.sechellia (sech25 v2 2019 UC Irvine)	7238	invertebrate
GCF_004634155.1	Eluc_v4	Esox lucius	northern pike	8010	fish
GCF_004664715.1	Pero_0.1	Peromyscus leucopus	white-footed mouse	10041	mammals(L)
GCF_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	white-footed mouse	10041	mammals
GCF_004785595.1	Jm3101_v1.0	Juglans microcarpa x Juglans regia	eudicots J.microcarpa x regia (UCDavis 2019)	2249226	plants
GCF_004785775.1	NIH_TR_1.0	Grammomys surdaster	woodland thicket rat	491861	mammals
GCF_004789895.1	ASM478989v1	Snowshoe hare virus	Snowshoe hare virus (2021)	11580	viral
GCF_004798865.1	ASM479886v1	Varanus komodoensis	Komodo dragon (SLA01 2019)	61221	vertebrate
GCF_004799145.1	ASM479914v1	Prosopis alba	algarrobo blanco	207710	plants
GCF_004916995.1	NCSU_SB_2.0	Morone saxatilis	striped sea-bass	34816	fish
GCF_005190385.1	NGI_Narwhal_1	Monodon monoceros	narwhal (Baffin Bay 2019)	40151	mammals
GCF_005239225.1	ASM523922v1	Populus alba	silver poplar	43335	plants
GCF_005281545.1	ASM528154v1	Epinephelus lanceolatus	giant grouper	310571	fish
GCF_005281655.1	TAMU_Nfulva_1.0	Nylanderia fulva	ant N.fulva (TAMU-Nful-2015 v1.0 2019)	613905	invertebrates(L)
GCF_005281655.2	TAMU_Nfulva_1.1	Nylanderia fulva	ant N.fulva (TAMU-Nful-2015 v1.1 2019)	613905	invertebrate
GCF_005286985.1	Setaria_viridis_v2.0	Setaria viridis	green foxtail	4556	plants
GCF_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	smut fungi S.graminicola	280036	fungi
GCF_005508785.1	pea_aphid_22Mar2018_4r6ur	Acyrthosiphon pisum	pea aphid (AL4f v1 2019)	7029	invertebrates(L)
GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	Acyrthosiphon pisum	pea aphid (AL4f v2 2019)	7029	invertebrate
GCF_005870065.1	ASM587006v1	Oreochromis aureus	blue tilapia (BGI-SZ)	47969	fish
GCF_005870125.1	lonStrDom2	Lonchura striata domestica	Bengalese finch	299123	birds
GCF_006149115.1	Oner_1.0	Oncorhynchus nerka	sockeye salmon (On170113-E2 v1 2019)	8023	fish(L)
GCF_006149115.2	Oner_1.1	Oncorhynchus nerka	sockeye salmon (On170113-E2 v2 2019)	8023	fish
GCF_006229205.1	meerkat_22Aug2017_6uvM2_HiC	Suricata suricatta	meerkat (VVHF042 2019 DNA Zoo)	37032	mammals
GCF_006345805.1	ASM634580v1	Octopus sinensis	East Asian common octopus	2607531	invertebrate
GCF_006381635.1	ASM638163v2	Hibiscus syriacus	rose of Sharon	106335	plants
GCF_006496715.1	Aalbo_primary.1	Aedes albopictus	Asian tiger mosquito	7160	invertebrate
GCF_006535985.1	ASM653598v1	Synchytrium microbalum	chytrids S.microbalum	1806994	fungi
GCF_006542625.1	Asia_NLE_v1	Nomascus leucogenys	northern white-cheeked gibbon (2019 U. Washington)	61853	primates
GCF_006547405.1	ASM654740v1	Globicephala melas	long-finned pilot whale	9731	mammals
GCF_007115625.1	cibio_Scana_2019	Serinus canaria	common canary	9135	birds
GCF_007364275.1	fArcCen1	Archocentrus centrarchus	flier cichlid	63155	fish
GCF_007399415.2	rGopEvg1_v1.p	Gopherus evgoodei	Goodes thornscrub tortoise	1825980	vertebrate
GCF_007474595.1	mLynCan4_v1.p	Lynx canadensis	Canada lynx	61383	mammals(L)
GCF_007474595.2	mLynCan4.pri.v2	Lynx canadensis	Canada lynx	61383	mammals
GCF_007565055.1	ASM756505v1	Rhinopithecus roxellana	golden snub-nosed monkey (2019 Northwest U)	61622	primates
GCF_007655135.1	ASM765513v2	Punica granatum	pomegranate	22663	plants
GCF_007821495.1	CFIA_Lhya_EG2017	Lachnellula hyalina	ascomycetes L.hyalina	1316788	fungi
GCF_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum	cotton G.hirsutum (HudsonAlpha 2021)	3635	plants
GCF_008121235.1	UCBerk_Dsub_1.0	Drosophila subobscura	fly D.subobscura	7241	invertebrate
GCF_008122165.1	Kamilah_GGO_v0	Gorilla gorilla gorilla	western lowland gorilla (Kamilah 2019)	9595	primates
GCF_008315115.1	SLUC_FBN_1	Sander lucioperca	pike-perch	283035	fish(L)
GCF_008315115.2	SLUC_FBN_1.2	Sander lucioperca	pike-perch	283035	fish
GCF_008629635.1	Kwon_shan_CBS_12478_V1	Kwoniella shandongensis	basidiomycetes K.shandongensis	1734106	fungi
GCF_008632895.1	UCSF_Mcou_1	Mastomys coucha	southern multimammate mouse	35658	mammals
GCF_008641045.1	PisVer_v2	Pistacia vera	pistachio	55513	plants
GCF_008692025.1	mPhoSin1.pri	Phocoena sinus	vaquita	42100	mammals
GCF_008692095.1	UIUC_Espe_1.0	Etheostoma spectabile	orangethroat darter	54343	fish
GCF_008694065.1	Dalch_JS-1345	Daldinia childiae	ascomycetes D.childiae	326645	fungi
GCF_008704595.1	ASM870459v1	Diutina rugosa	budding yeast D.rugosa	5481	fungi
GCF_008728515.1	Panubis1.0	Papio anubis	olive baboon (2019 UCSF)	9555	primates
GCF_008729295.1	YSFRI_Pleo_2.0	Plectropomus leopardus	leopard coralgrouper	160734	fish
GCF_008802855.1	Ppyr1.3	Photinus pyralis	common eastern firefly	7054	invertebrate
GCF_008822105.2	bTaeGut2.pat.W.v2	Taeniopygia guttata	zebra finch (Blue55 paternal W 2020 VGP)	59729	birds
GCF_008831285.1	ASM883128v1	Nymphaea colorata	East African water lily	210225	plants
GCF_009078355.1	GENO_Phyp_1.0	Pangasianodon hypophthalmus	striped catfish Indonesia	310915	fish
GCF_009176365.1	Aspalli1	Aspergillus alliaceus	ascomycetes A.alliaceus	209559	fungi
GCF_009176525.2	AAFC_CNas_1.1	Contarinia nasturtii	swede midge	265458	invertebrate
GCF_009193385.2	Nvit_psr_1.1	Nasonia vitripennis	jewel wasp	7425	invertebrate
GCF_009193445.1	Asppset1	Aspergillus pseudotamarii	ascomycetes A.pseudotamarii	132259	fungi
GCF_009193585.1	Aspcae1	Aspergillus caelatus	ascomycetes A.caelatus	61420	fungi
GCF_009193645.1	Asppsen1	Aspergillus pseudonomiae	ascomycetes A.pseudonomius	1506151	fungi
GCF_009389715.1	palm_55x_up_171113_PBpolish2nd_filt_p	Phoenix dactylifera	date palm (Barhee BC4 2019)	42345	plants
GCF_009602425.1	ASM960242v1	Actinia tenebrosa	Australian red waratah sea anemone	6105	invertebrate
GCF_009650485.1	drosAlbom15112-1751.03v1	Drosophila albomicans	fly D.albomicans	7291	invertebrate
GCF_009650955.1	bCorMon1.pri	Corvus moneduloides	New Caledonian crow	1196302	birds
GCF_009663435.1	Callithrix_jacchus_cj1700_1.1	Callithrix jacchus	white-tufted-ear marmoset (cj1700 2020)	9483	primates
GCF_009727055.1	ASM972705v1	Benincasa hispida	wax gourd	102211	plants
GCF_009730915.1	TDr96_F1_v2_PseudoChromosome.rev07_lg8_w22_25.fasta	Dioscorea cayenensis subsp. rotundata	white yam	55577	plants
GCF_009731565.1	Dplex_v4	Danaus plexippus plexippus	monarch butterfly	278856	invertebrate
GCF_009761245.1	GSC_monkey_1.0	Sapajus apella	tufted capuchin	9515	primates
GCF_009762305.2	mZalCal1.pri.v2	Zalophus californianus	California sea lion	9704	mammals
GCF_009762535.1	fNotCel1.pri	Notolabrus celidotus	New Zealand spotty (refseq)	1203425	fish
GCF_009764315.1	Tfra_2.0	Trachypithecus francoisi	Francois's langur	54180	primates
GCF_009764565.2	rDerCor1.pri.v3	Dermochelys coriacea	leatherback sea turtle (v3 2020 refseq G10K VGP)	27794	vertebrate(L)
GCF_009764565.3	rDerCor1.pri.v4	Dermochelys coriacea	leatherback sea turtle (v4 2021 refseq G10K VGP)	27794	vertebrate
GCF_009769535.1	rThaEle1.pri	Thamnophis elegans	Western terrestrial garter snake	35005	vertebrate
GCF_009769545.1	fCycLum1.pri	Cyclopterus lumpus	lumpfish (refseq)	8103	fish
GCF_009769625.2	bCygOlo1.pri.v2	Cygnus olor	mute swan (v2 2021)	8869	birds
GCF_009771025.1	ASM977102v1	Colletotrichum fructicola	ascomycetes C.fructicola	690256	fungi
GCF_009819535.1	rLacAgi1.pri	Lacerta agilis	sand lizard	80427	vertebrate
GCF_009819705.1	fHipHip1.pri	Hippoglossus hippoglossus	Atlantic halibut (refseq)	8267	fish
GCF_009819795.1	bAytFul2.pri	Aythya fuligula	tufted duck	219594	birds
GCF_009819885.1	bCatUst1.pri	Catharus ustulatus	Swainson's thrush (v1 2019 VGP)	91951	birds(L)
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus	Swainson's thrush (v2 2020 VGP)	91951	birds
GCF_009828535.1	HMol	Hylobates moloch	silvery gibbon	81572	primates(L)
GCF_009828535.2	HMol_V2	Hylobates moloch	silvery gibbon (HMO894 2020 UC Santa Cruz)	81572	primates
GCF_009829125.1	fPerMag1.pri	Periophthalmus magnuspinnatus	Korean giant-fin mudskipper (refseq)	409849	fish
GCF_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata	lance-tailed manakin	296741	birds
GCF_009829155.1	mMusErm1.Pri	Mustela erminea	ermine	36723	mammals
GCF_009834535.1	BCGSAC_Cfer_1.0	Camelus ferus	wild Bactrian camel (BCGSAC Cfer 1.0 YT-003-E 2020)	419612	mammals
GCF_009870125.1	UCI_Dpse_MV25	Drosophila pseudoobscura	fly D.pseudoobscura	7237	invertebrate
GCF_009873245.2	mBalMus1.pri.v3	Balaenoptera musculus	blue whale	9771	mammals
GCF_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis	European perch	8168	fish
GCF_010015565.1	Disac1	Dissoconium aciculare CBS 342.82	ascomycetes D.aciculare CBS 342.82	1314786	fungi
GCF_010015585.1	Erebi1	Eremomyces bilateralis CBS 781.70	ascomycetes E.bilateralis CBS 781.70	1392243	fungi
GCF_010015615.1	Cucbe1	Cucurbitaria berberidis CBS 394.84	ascomycetes C.berberidis CBS 394.84	1168544	fungi
GCF_010015735.1	Aaoar1	Aaosphaeria arxii CBS 175.79	ascomycetes A.arxii CBS 175.79	1450172	fungi
GCF_010015815.1	Dotsy1	Dothidotthia symphoricarpi CBS 119687	ascomycetes D.symphoricarpi CBS 119687	1392245	fungi
GCF_010015895.1	GSC_riverotter_1.0	Lontra canadensis	Northern American river otter	76717	mammals
GCF_010093505.1	Horac1	Neohortaea acidophila	ascomycetes N.acidophila	245834	fungi
GCF_010093535.1	Linin1	Lindgomyces ingoldianus	ascomycetes L.ingoldianus	673940	fungi
GCF_010093595.1	Mytre1	Mytilinidion resinicola	ascomycetes M.resinicola	574789	fungi
GCF_010093625.1	Macan1	Macroventuria anomochaeta	ascomycetes M.anomochaeta	301207	fungi
GCF_010093815.1	Psehy1	Pseudovirgaria hyperparasitica	ascomycetes P.hyperparasitica	470096	fungi
GCF_010093885.1	Aplpr1	Aplosporella prunicola CBS 121167	ascomycetes A.prunicola CBS 121167	1176127	fungi
GCF_010093935.1	Zasce1	Zasmidium cellare ATCC 36951	ascomycetes Z.cellare ATCC 36951	1080233	fungi
GCF_010094035.1	Trepe1	Trematosphaeria pertusa	ascomycetes T.pertusa	390896	fungi
GCF_010094085.1	Wesor1	Westerdykella ornata	ascomycetes W.ornata	318751	fungi
GCF_010094145.1	Didex1	Didymella exigua CBS 183.55	ascomycetes D.exigua CBS 183.55	1150837	fungi
GCF_010389155.1	C_canadensis_v1	Erigeron canadensis	horseweed	72917	plants
GCF_010416935.1	CU_Pfus_HIC	Polistes fuscatus	common paper wasp	30207	invertebrate
GCF_010583005.1	Obru_v1	Odontomachus brunneus	ant O.brunneus	486640	invertebrate
GCF_010614865.1	ASM1061486v1	Stegodyphus dumicola	spiders S.dumicola	202533	invertebrate
GCF_010614865.2	ASM1061486v2	Stegodyphus dumicola	velvet spider (Namibia, Etosha AA2019 2020)	202533	invertebrate
GCF_010645085.1	ASM1064508v1	Acipenser ruthenus	sterlet	7906	vertebrate
GCF_010724455.1	ASM1072445v1	Aspergillus lentulus	ascomycetes A.lentulus	293939	fungi
GCF_010883055.1	B_treatae_v1	Belonocnema treatae	wasp B.treatae	1159321	invertebrate
GCF_010909765.1	sAmbRad1.pri	Amblyraja radiata	thorny skate (CabotCenter1 v1 2020 refseq VGP)	386614	vertebrate(L)
GCF_010909765.2	sAmbRad1.1.pri	Amblyraja radiata	thorny skate (v2 2020)	386614	vertebrate
GCF_010993605.1	kPetMar1.pri	Petromyzon marinus	sea lamprey	7757	vertebrate
GCF_011004845.1	fEsoLuc1.pri	Esox lucius	northern pike	8010	fish
GCF_011032745.1	ASM1103274v1	Limosilactobacillus fermentum	Limosilactobacillus fermentum AGR1487	1613	bacteria
GCF_011032765.1	ASM1103276v1	Limosilactobacillus fermentum	Limosilactobacillus fermentum AGR1485	1613	bacteria
GCF_011064425.1	Rrattus_CSIRO_v1	Rattus rattus	black rat	10117	mammals
GCF_011064685.1	ZJU_Sfru_1.0	Spodoptera frugiperda	fall armyworm (Faw-zju v1.0 refseq 2020)	7108	invertebrates(L)
GCF_011064685.2	ZJU_Sfru_1.1	Spodoptera frugiperda	fall armyworm (Faw-zju v1.1 refseq 2020)	7108	invertebrate
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus	budding yeast B.nanus	13502	fungi
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis	budding yeast B.bruxellensis UCD 2041	5007	fungi
GCF_011075055.1	CATAS_Mindica_2.1	Mangifera indica	mango	29780	plants
GCF_011075155.1	ASM1107515v1	Colletotrichum scovillei	ascomycetes C.scovillei	1209932	fungi
GCF_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	ruddy duck	8884	birds
GCF_011100635.1	mTriVul1.pri	Trichosurus vulpecula	common brushtail	9337	mammals
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	dog (German shepard Mischka 2020)	9615	mammals
GCF_011125445.2	MU-UCD_Fhet_4.1	Fundulus heteroclitus	mummichog (U. Missouri)	8078	fish
GCF_011392965.1	Fvar_1.2	Frieseomelitta varia	bee F.varia	561572	invertebrate
GCF_011630105.1	ASM1163010v1	Anneissia japonica	crinoids A.japonica	1529436	invertebrate
GCF_011692745.1	ASM1169274v1	Arthroderma uncinatum	ascomycetes A.uncinatum	74035	fungi
GCF_011745365.1	Crypa2	Cryphonectria parasitica EP155	chestnut blight fungus EP155	660469	fungi
GCF_011750605.1	ASM1175060v1	Drosophila busckii	fly D.busckii	30019	invertebrate
GCF_011762505.1	mArvNil1.pat.X	Arvicanthis niloticus	African grass rat (paternal X 2020 VGP)	61156	mammals
GCF_011762595.1	mTurTru1.mat.Y	Tursiops truncatus	common bottlenose dolphin (maternal Y refseq 2020 VGP)	9739	mammals
GCF_011764305.1	ASM1176430v1.1	Mustela putorius furo	domestic ferret (JIRA1106 JCVI 2020)	9669	mammals
GCF_011800055.1	NFU_CgLc1_1.0	Colletotrichum gloeosporioides	ascomycetes C.gloeosporioides	474922	fungi
GCF_011800145.1	KU_Mleo_1.0	Mirounga leonina	southern elephant seal	9715	mammals
GCF_011800845.1	UG_Zviv_1	Zootoca vivipara	viviparous/common lizard	8524	vertebrate
GCF_011865705.1	USU_MGEN_1.2	Megalopta genalis	bee M.genalis	115081	invertebrate
GCF_011947395.1	ASM1194739v2	Colletotrichum karsti	ascomycetes C.karsti	1095194	fungi
GCF_011947565.2	Ppol_2	Pollicipes pollicipes	crustacean P.pollicipes	41117	invertebrate
GCF_011952205.1	Bbif_JDL3187	Bombus bifarius	bee B.bifarius	103933	invertebrate
GCF_011952255.1	Bvos_JDL3184-5_v1.1	Bombus vosnesenskii	bee B.vosnesenskii	207650	invertebrate
GCF_011952275.1	Bvanc_JDL1245	Bombus vancouverensis nearcticus	bee B.vancouverensis nearcticus	2705178	invertebrate
GCF_012273895.1	Zerene_cesonia_1.1	Zerene cesonia	dogface butterfly	33412	invertebrate
GCF_012274295.1	USDA_OLig_1.0	Osmia lignaria	orchard mason bee	473952	invertebrate
GCF_012274545.1	DMR_v1.0_HiC	Fukomys damarensis	Damara mole-rat DMR 1.0 HiC (2020 DNA Zoo)	885580	mammals
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus	budgerigar (maternal Z 2020 refseq VGP)	13146	birds
GCF_012295265.1	UNSW_AlpineDingo_1.0	Canis lupus dingo	dingo	286419	mammals
GCF_012393455.1	Tufts_HGry_1.1	Halichoerus grypus	gray seal	9711	mammals
GCF_012460135.1	BPBGC_Mater_1.0	Molothrus ater	brown headed cowbird	84834	birds
GCF_012550715.1	ASM1255071v1	Geosmithia morbida	ascomycetes G.morbida	1094350	fungi
GCF_012559485.2	MFA1912RKSv2	Macaca fascicularis	crab-eating macaque CE1976F Keio U/RIKEN 2021	9541	primates
GCF_012931545.1	Oket_V1	Oncorhynchus keta	chum salmon	8018	fish
GCF_012932325.1	TpBJ-2018v1	Thrips palmi	thrips T.palmi	161013	invertebrate
GCF_012971845.1	ASM1297184v1	Lasiodiplodia theobromae	ascomycetes L.theobromae	45133	fungi
GCF_013036055.1	ASM1303605v1	Alternaria burnsii	ascomycetes A.burnsii	1187904	fungi
GCF_013052645.1	Mhudiblu_PPA_v0	Pan paniscus	pygmy chimpanzee (Mhudiblu)	9597	primates
GCF_013088445.1	ASM1308844v1	Human lung-associated vientovirus FB	human lung-associated vientovirus FB (2021)	2571082	viral
GCF_013100865.1	CAS_Tse_1.0	Trachemys scripta elegans	red-eared slider turtle	31138	vertebrate
GCF_013103735.1	CSU_Ecrag_1.0	Etheostoma cragini	Arkansas darter	417921	fish
GCF_013122585.1	ASM1312258v2	Styela clava	stalked seq squirt	7725	invertebrate
GCF_013123115.1	ASM1312311v1	Colletes gigas	bee C.gigas	935657	invertebrate
GCF_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi	Asian malaria mosquito	30069	invertebrate
GCF_013265735.2	USDA_OmykA_1.1	Oncorhynchus mykiss	rainbow trout (Arlee)	8022	fish
GCF_013339695.1	ASM1333969v1	Rhipicephalus sanguineus	brown dog tick	34632	invertebrate
GCF_013339725.1	ASM1333972v1	Rhipicephalus microplus	southern cattle tick	6941	invertebrate
GCF_013339745.1	ASM1333974v1	Dermacentor silvarum	tick D.silvarum	543639	invertebrate
GCF_013339905.1	IPHC_HiSten_1.0	Hippoglossus stenolepis	Pacific halibut (PH-IPHC-18 2020)	195615	fish
GCF_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii	fly D.suzukii	28584	invertebrate
GCF_013340325.1	ASM1334032v1	Aspergillus tubingensis	ascomycetes A.tubingensis	5068	fungi
GCF_013347765.1	ASM1334776v1	Scophthalmus maximus	Atlantic turbot (AOZZmale01 2020)	52904	fish
GCF_013347855.1	fAngAng1.pri	Anguilla anguilla	European eel	7936	vertebrate
GCF_013357705.1	ASM1335770v1	Chelonus insularis	wasp C.insularis	460826	invertebrate
GCF_013358625.1	SCU_Mint_v3	Macadamia integrifolia	macadamia nut	60698	plants
GCF_013358815.1	fEleEle1.pri	Electrophorus electricus	electric eel	8005	fish
GCF_013358895.1	ZZ_aureus	Oreochromis aureus	blue tilapia (Guangdong)	47969	fish
GCF_013368585.1	fMegCyp1.pri	Megalops cyprinoides	Indo-Pacific tarpon	118141	fish
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus	ascomycetes T.rugulosus	121627	fungi
GCF_013373865.1	ASM1337386v2	Monomorium pharaonis	pharaoh ant	307658	invertebrate
GCF_013377495.1	Cygnus_atratus_primary_v1.0	Cygnus atratus	black swan	8868	birds
GCF_013390185.1	ASM1339018v1	Colletotrichum aenigma	ascomycetes C.aenigma	1215731	fungi
GCF_013390195.1	ASM1339019v1	Colletotrichum siamense	ascomycetes C.siamense	690259	fungi
GCF_013396075.1	ASM1339607v1	Fusarium subglutinans	ascomycetes F.subglutinans	42677	fungi
GCF_013396195.1	ASM1339619v1	Fusarium tjaetaba	ascomycetes F.tjaetaba	1567544	fungi
GCF_013401445.1	ASM1340144v1	Tripterygium wilfordii	thunder duke vine	458696	plants
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	budding yeast Z.mrakii	42260	fungi
GCF_013461495.1	Bfra_R1V1	Botrytis fragariae	ascomycetes B.fragariae	1964551	fungi
GCF_013731165.1	Rhpom_1.0	Rhagoletis pomonella	apple maggot	28610	invertebrate
GCF_013753865.1	Amil_v2.1	Acropora millepora	stony coral A.millepora (JS-1 2020)	45264	invertebrate
GCF_013758885.1	VT_AalbS3_pri_1.0	Anopheles albimanus	mosquito A.albimanus	7167	invertebrate
GCF_014066305.1	Lecol_v1.0	Letharia columbiana	ascomycetes L.columbiana	112416	fungi
GCF_014066315.1	Lelup_v1.1	Letharia lupina	ascomycetes L.lupina	560253	fungi
GCF_014066325.1	ASM1406632v1	Apis laboriosa	Himalayan honeybee	183418	invertebrate
GCF_014083535.2	V.mandarinia_Nanaimo_p1.0	Vespa mandarinia	Asian giant hornet	7446	invertebrate
GCF_014108235.1	mMyoMyo1.p	Myotis myotis	greater mouse-eared bat	51298	mammals
GCF_014108245.1	mPipKuh1.p	Pipistrellus kuhlii	Kuhl's pipistrelle	59472	mammals
GCF_014108415.1	mMolMol1.p	Molossus molossus	Pallas's mastiff bat	27622	mammals
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357	ascomycetes A.flavus NRRL3357	332952	fungi
GCF_014133895.1	ASM1413389v1	Torulaspora globosa	budding yeast T.globosa	48254	fungi
GCF_014176215.1	mRouAeg1.p	Rousettus aegyptiacus	Egyptian rousette	9407	mammals
GCF_014235925.1	CTRU02	Colletotrichum truncatum	ascomycetes C.truncatum	5467	fungi
GCF_014356525.1	ASM1435652v1	Nilaparvata lugens	brown planthopper (BPH 2020)	108931	invertebrate
GCF_014441545.1	ROS_Cfam_1.0	Canis lupus familiaris	dog (labrador)	9615	mammals
GCF_014461135.1	ASM1446113v1	Mycena indigotica	basidiomycetes M.indigotica	2126181	fungi
GCF_014466165.1	ASM1446616v1	Pleurotus ostreatus	oyster mushroom	5322	fungi
GCF_014466175.1	ASM1446617v1	Vespula pensylvanica	western yellowjacket	30213	invertebrate
GCF_014529535.1	BU_Bcop_v1	Bradysia coprophila	fly B.coprophila	38358	invertebrate
GCF_014570535.1	YNU_ManJav_2.0	Manis javanica	Malayan pangolin YNU ManJav 2.0	9974	mammals
GCF_014570555.1	YNU_ManPten_2.0	Manis pentadactyla	Chinese pangolin (2020 Yunnan U)	143292	mammals
GCF_014595645.1	ASM1459564v1	Diaporthe citri	ascomycetes D.citri NFHF-8-4	83186	fungi
GCF_014621545.1	ASM1462154v1	Monkeypox virus	Monkeypox virus (MPXV-M5312_HM12_Rivers 2022)	10244	viral
GCF_014633375.1	OchPri4.0	Ochotona princeps	American pika 4.0 (UAM:Mamm:113957 2020)	9978	mammals
GCF_014743375.2	RU_Dsub_v1.1	Drosophila subpulchrella	fly D.subpulchrella	1486046	invertebrate
GCF_014754425.2	SCBI_Odam_1.1	Oryx dammah	scimitar-horned oryx	59534	mammals
GCF_014805625.1	Yale_Gfus_2	Glossina fuscipes	tsetse fly	7396	invertebrate
GCF_014805655.1	ASM1480565v1	Passer montanus	Eurasian tree sparrow	9160	birds
GCF_014805675.1	ASM1480567v1.1	Mercenaria mercenaria	northern quahog	6596	invertebrate
GCF_014805685.1	ASM1480568v1	Silurus meridionalis	Chinese large-mouth catfish (SWU-2019-XX 2020)	175797	fish
GCF_014824575.1	WHU_Shon_v2	Sturnira hondurensis	Honduran yellow-shouldered bat	192404	mammals
GCF_014824575.2	WHU_Shon_v2.1	Sturnira hondurensis	neotropical fruit bat	192404	mammals
GCF_014825515.1	WHU_Ajam_v2	Artibeus jamaicensis	Jamaican fruit-eating bat (1a 2020 Wuhan U)	9417	mammals
GCF_014825855.1	ASM1482585v1	Bombus pyrosoma	bee B.pyrosoma	396416	invertebrate
GCF_014839805.1	JHU_Msex_v1.0	Manduca sexta	tobacco hornworm	7130	invertebrate
GCF_014843425.1	RJC1_Hi-C	Jatropha curcas	Barbados nut	180498	plants
